journal_name,category,if_2023,if_2022,涨跌分值
NATURE REVIEWS NEUROSCIENCE,NEUROSCIENCES - SCIE(Q1),34.7,38.76,-4.055
JOURNAL OF INFECTION,INFECTIOUS DISEASES - SCIE(Q1),28.2,38.64,-10.437
CANCER CELL,ONCOLOGY - SCIE(Q1); CELL BIOLOGY - SCIE(Q1),50.3,38.59,11.715
Cancer Discovery,ONCOLOGY - SCIE(Q1),28.2,38.27,-10.072
Signal Transduction and Targeted Therapy,CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),39.3,38.1,1.196
Cell Discovery,CELL BIOLOGY - SCIE(Q1),33.5,38.08,-4.579
Lancet Child & Adolescent Health,PEDIATRICS - SCIE(Q1),36.4,37.75,-1.346
Journal of Public Transportation,TRANSPORTATION - SSCI(Q1),#N/A,37.67,#N/A
Annual Review of Astronomy and Astrophysics,ASTRONOMY & ASTROPHYSICS - SCIE(Q1),33.3,37.23,-3.926
Nature Reviews Earth & Environment,"ENVIRONMENTAL SCIENCES - SCIE(Q1); GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q1)",42.1,37.21,4.886
Lancet Digital Health,"MEDICAL INFORMATICS - SCIE(Q1); MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",30.8,36.62,-5.815
MMWR Recommendations and Reports,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)",33.7,36.29,-2.586
Nature Reviews Physics,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)",38.5,36.27,2.227
EUROPEAN HEART JOURNAL,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),39.3,35.86,3.445
ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRONOMY & ASTROPHYSICS - SCIE(Q1),25.8,35.79,-9.986
Lancet Rheumatology,RHEUMATOLOGY - SCIE(Q1),25.4,35.48,-10.082
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"THERMODYNAMICS - SCIE(Q1); ENGINEERING, MECHANICAL - SCIE(Q1); ENERGY & FUELS - SCIE(Q1); ENGINEERING, CHEMICAL - SCIE(Q1)",29.5,35.34,-5.839
