journal_name,category,if_2023,if_2022,涨跌分值
Chinese Public Administration Review,PUBLIC ADMINISTRATION - ESCI(N/A),#N/A,N/A,#N/A
Chinese Space Science and Technology,"ENGINEERING, AEROSPACE - ESCI(N/A)",#N/A,N/A,#N/A
Church History and Religious Culture,RELIGION - ESCI(N/A),#N/A,N/A,#N/A
Clinical Journal of Gastroenterology,GASTROENTEROLOGY & HEPATOLOGY - ESCI(N/A),#N/A,N/A,#N/A
Clinical and Experimental Hepatology,GASTROENTEROLOGY & HEPATOLOGY - ESCI(N/A),#N/A,N/A,#N/A
Counselling & Psychotherapy Research,"PSYCHOLOGY, CLINICAL - ESCI(N/A)",#N/A,N/A,#N/A
Critical Studies in Fashion & Beauty,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",#N/A,N/A,#N/A
Journal of Communication Management,COMMUNICATION - ESCI(N/A),#N/A,N/A,#N/A
Journal of Computer Aided Chemistry,"CHEMISTRY, MULTIDISCIPLINARY - ESCI(N/A)",#N/A,N/A,#N/A
Journal of Computer Chemistry-Japan,"CHEMISTRY, MULTIDISCIPLINARY - ESCI(N/A)",#N/A,N/A,#N/A
Journal of Contemporary Archaeology,ARCHAEOLOGY - ESCI(N/A),#N/A,N/A,#N/A
Journal of Contemporary Chinese Art,ART - ESCI(N/A),#N/A,N/A,#N/A
Journal of Dance Medicine & Science,SPORT SCIENCES - ESCI(N/A),#N/A,N/A,#N/A
Journal of Early Childhood Research,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),#N/A,N/A,#N/A
Journal of Geography-Chigaku Zasshi,"GEOGRAPHY, PHYSICAL - ESCI(N/A)",#N/A,N/A,#N/A
Journal of Global Economic Analysis,ECONOMICS - ESCI(N/A),#N/A,N/A,#N/A
Journal of Global Fashion Marketing,BUSINESS - ESCI(N/A),#N/A,N/A,#N/A
Journal of Himalayan Earth Sciences,GEOLOGY - ESCI(N/A),#N/A,N/A,#N/A
Journal of Human Sport and Exercise,SPORT SCIENCES - ESCI(N/A),#N/A,N/A,#N/A
Journal of Indian Business Research,BUSINESS - ESCI(N/A),#N/A,N/A,#N/A
Journal of Indian Geophysical Union,GEOCHEMISTRY & GEOPHYSICS - ESCI(N/A),#N/A,N/A,#N/A
Journal of Latin American Geography,GEOGRAPHY - ESCI(N/A),#N/A,N/A,#N/A
Journal of Mathematics and the Arts,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - ESCI(N/A)",#N/A,N/A,#N/A
Journal of Medieval Iberian Studies,MEDIEVAL & RENAISSANCE STUDIES - AHCI(N/A),#N/A,N/A,#N/A
Journal of Money Laundering Control,CRIMINOLOGY & PENOLOGY - ESCI(N/A),#N/A,N/A,#N/A
Journal of Multicultural Discourses,ETHNIC STUDIES - ESCI(N/A),#N/A,N/A,#N/A
Journal of Nutrition and Metabolism,NUTRITION & DIETETICS - ESCI(N/A),#N/A,N/A,#N/A
Journal of Pediatric Intensive Care,PEDIATRICS - ESCI(N/A),#N/A,N/A,#N/A
Journal of Public Health-Heidelberg,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI(N/A)",#N/A,N/A,#N/A
Journal of Radiotherapy in Practice,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI(N/A)",#N/A,N/A,#N/A
Journal of Sedimentary Environments,ENVIRONMENTAL SCIENCES - ESCI(N/A),#N/A,N/A,#N/A
Journal of Time Series Econometrics,"SOCIAL SCIENCES, MATHEMATICAL METHODS - ESCI(N/A)",#N/A,N/A,#N/A
Journal of Transformative Education,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),#N/A,N/A,#N/A
Journal of Unmanned Vehicle Systems,REMOTE SENSING - ESCI(N/A),#N/A,N/A,#N/A
Journal of World Investment & Trade,LAW - ESCI(N/A),#N/A,N/A,#N/A
Linguas e Instrumentos Linguisticos,LANGUAGE & LINGUISTICS - ESCI(N/A),#N/A,N/A,#N/A
Lobachevskii Journal of Mathematics,MATHEMATICS - ESCI(N/A),#N/A,N/A,#N/A
MCS-Masculinities and Social Change,SOCIOLOGY - ESCI(N/A),#N/A,N/A,#N/A
Management of Environmental Quality,ENVIRONMENTAL STUDIES - ESCI(N/A),#N/A,N/A,#N/A
Meandros Medical and Dental Journal,"MEDICINE, GENERAL & INTERNAL - ESCI(N/A)",#N/A,N/A,#N/A
Membranes and Membrane Technologies,"ENGINEERING, CHEMICAL - ESCI(N/A); POLYMER SCIENCE - ESCI(N/A); CHEMISTRY, PHYSICAL - ESCI(N/A)",#N/A,N/A,#N/A
Mesto a Dejiny-The City and History,HISTORY - ESCI(N/A),#N/A,N/A,#N/A
Microbiology Resource Announcements,MICROBIOLOGY - ESCI(N/A),#N/A,N/A,#N/A
Minerva Ortopedica E Traumatologica,ORTHOPEDICS - ESCI(N/A),#N/A,N/A,#N/A
Minimax Theory and its Applications,"MATHEMATICS, APPLIED - ESCI(N/A)",#N/A,N/A,#N/A
Momona Ethiopian Journal of Science,MULTIDISCIPLINARY SCIENCES - ESCI(N/A),#N/A,N/A,#N/A
NOESIS-REVISTA DE CIENCIAS SOCIALES,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)",#N/A,N/A,#N/A
Natural Products and Bioprospecting,"CHEMISTRY, MEDICINAL - ESCI(N/A)",#N/A,N/A,#N/A
Neurology and Clinical Neuroscience,CLINICAL NEUROLOGY - ESCI(N/A),#N/A,N/A,#N/A
Neuropsychiatria i Neuropsychologia,PSYCHIATRY - ESCI(N/A),#N/A,N/A,#N/A
Numerical Analysis and Applications,"MATHEMATICS, APPLIED - ESCI(N/A)",#N/A,N/A,#N/A
OCCUPATIONAL THERAPY IN HEALTH CARE,REHABILITATION - ESCI(N/A),#N/A,N/A,#N/A
Operations Research for Health Care,HEALTH CARE SCIENCES & SERVICES - ESCI(N/A),#N/A,N/A,#N/A
Performance Measurement and Metrics,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI(N/A),#N/A,N/A,#N/A
Place Branding and Public Diplomacy,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI(N/A)",#N/A,N/A,#N/A
Pravention und Gesundheitsforderung,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI(N/A)",#N/A,N/A,#N/A
Problemy Analiza-Issues of Analysis,MATHEMATICS - ESCI(N/A),#N/A,N/A,#N/A
Proceedings of Singapore Healthcare,"MEDICINE, GENERAL & INTERNAL - ESCI(N/A)",#N/A,N/A,#N/A
Progress in Artificial Intelligence,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI(N/A)",#N/A,N/A,#N/A
Psychology and Developing Societies,"PSYCHOLOGY, MULTIDISCIPLINARY - ESCI(N/A)",#N/A,N/A,#N/A
Quantitative Methods for Psychology,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)",#N/A,N/A,#N/A
RASSEGNA DELLA LETTERATURA ITALIANA,"LITERATURE, ROMANCE - AHCI(N/A)",#N/A,N/A,#N/A
REVUE INTERNATIONALE DE PHILOSOPHIE,PHILOSOPHY - AHCI(N/A),#N/A,N/A,#N/A
RIVISTA DI FILOSOFIA NEO-SCOLASTICA,PHILOSOPHY - AHCI(N/A),#N/A,N/A,#N/A
Radiological Physics and Technology,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI(N/A)",#N/A,N/A,#N/A
Regulatory Mechanisms in Biosystems,BIOLOGY - ESCI(N/A),#N/A,N/A,#N/A
Research Studies in Music Education,MUSIC - ESCI(N/A),#N/A,N/A,#N/A
Research and Reports in Neonatology,PEDIATRICS - ESCI(N/A),#N/A,N/A,#N/A
Research in Cardiovascular Medicine,CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI(N/A),#N/A,N/A,#N/A
Research in Pharmaceutical Sciences,"CHEMISTRY, MEDICINAL - ESCI(N/A)",#N/A,N/A,#N/A
Review of Corporate Finance Studies,"BUSINESS, FINANCE - ESCI(N/A)",#N/A,N/A,#N/A
Critical Care Research and Practice,CRITICAL CARE MEDICINE - ESCI(N/A),#N/A,N/A,#N/A
Cuadernos de Historia Contemporanea,HISTORY - ESCI(N/A),#N/A,N/A,#N/A
Current Bladder Dysfunction Reports,UROLOGY & NEPHROLOGY - ESCI(N/A),#N/A,N/A,#N/A
Current Cardiovascular Risk Reports,CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI(N/A),#N/A,N/A,#N/A
Current Otorhinolaryngology Reports,OTORHINOLARYNGOLOGY - ESCI(N/A),#N/A,N/A,#N/A
Deutsche Zeitschrift fur Akupunktur,INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI(N/A),#N/A,N/A,#N/A
Developpement Durable & Territoires,GEOGRAPHY - ESCI(N/A),#N/A,N/A,#N/A
Devices and Methods of Measurements,INSTRUMENTS & INSTRUMENTATION - ESCI(N/A),#N/A,N/A,#N/A
Dimensions of Critical Care Nursing,NURSING - ESCI(N/A),#N/A,N/A,#N/A
EPJ Nuclear Sciences & Technologies,NUCLEAR SCIENCE & TECHNOLOGY - ESCI(N/A),#N/A,N/A,#N/A
EUROPEAN JOURNAL OF PLASTIC SURGERY,SURGERY - ESCI(N/A),#N/A,N/A,#N/A
Eastern Journal of European Studies,AREA STUDIES - ESCI(N/A),#N/A,N/A,#N/A
Educational Research and Evaluation,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),#N/A,N/A,#N/A
Ekonomika Regiona-Economy of Region,AREA STUDIES - ESCI(N/A),#N/A,N/A,#N/A
Ephemerides Theologicae Lovanienses,RELIGION - AHCI(N/A),#N/A,N/A,#N/A
European Heart Journal-Case Reports,CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI(N/A),#N/A,N/A,#N/A
European Journal of Psychology Open,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(N/A)",#N/A,N/A,#N/A
European Journal of Risk Regulation,LAW - ESCI(N/A),#N/A,N/A,#N/A
European Journal of Social Security,PUBLIC ADMINISTRATION - ESCI(N/A),#N/A,N/A,#N/A
Explorations in Renaissance Culture,MEDIEVAL & RENAISSANCE STUDIES - ESCI(N/A),#N/A,N/A,#N/A
First Peoples Child & Family Review,FAMILY STUDIES - ESCI(N/A),#N/A,N/A,#N/A
Foundations and Trends in Marketing,BUSINESS - ESCI(N/A),#N/A,N/A,#N/A
Frontiers in Heat and Mass Transfer,THERMODYNAMICS - ESCI(N/A),#N/A,N/A,#N/A
Frontiers of Architectural Research,ARCHITECTURE - AHCI(N/A),#N/A,N/A,#N/A
Frontiers of Engineering Management,"ENGINEERING, INDUSTRIAL - ESCI(N/A)",#N/A,N/A,#N/A
GERMANISCH-ROMANISCHE MONATSSCHRIFT,LITERATURE - AHCI(N/A),#N/A,N/A,#N/A
Gallerie e Grandi Opere Sotterranee,"ENGINEERING, CIVIL - ESCI(N/A)",#N/A,N/A,#N/A
Global Qualitative Nursing Research,NURSING - ESCI(N/A),#N/A,N/A,#N/A
HIGH TEMPERATURE MATERIAL PROCESSES,"MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI(N/A)",#N/A,N/A,#N/A
HOME HEALTH CARE SERVICES QUARTERLY,HEALTH POLICY & SERVICES - ESCI(N/A),#N/A,N/A,#N/A
Health Services Management Research,HEALTH POLICY & SERVICES - ESCI(N/A),#N/A,N/A,#N/A
History and Sociology of South Asia,AREA STUDIES - ESCI(N/A),#N/A,N/A,#N/A
IEEE Open Journal of Nanotechnology,"MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI(N/A); NANOSCIENCE & NANOTECHNOLOGY - ESCI(N/A)",#N/A,N/A,#N/A
IFAC Journal of Systems and Control,AUTOMATION & CONTROL SYSTEMS - ESCI(N/A),#N/A,N/A,#N/A
INFORMATION-WISSENSCHAFT UND PRAXIS,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI(N/A)",#N/A,N/A,#N/A
Indian Journal of Surgical Oncology,ONCOLOGY - ESCI(N/A),#N/A,N/A,#N/A
Innovative Infrastructure Solutions,"ENGINEERING, CIVIL - ESCI(N/A)",#N/A,N/A,#N/A
Intelligent Buildings International,CONSTRUCTION & BUILDING TECHNOLOGY - ESCI(N/A),#N/A,N/A,#N/A
International Journal of Accounting,"BUSINESS, FINANCE - ESCI(N/A)",#N/A,N/A,#N/A
International Journal of Biometrics,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI(N/A)",#N/A,N/A,#N/A
International Journal of Childbirth,NURSING - ESCI(N/A),#N/A,N/A,#N/A
International Journal of E-Adoption,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI(N/A),#N/A,N/A,#N/A
International Journal of Geophysics,GEOCHEMISTRY & GEOPHYSICS - ESCI(N/A),#N/A,N/A,#N/A
International Journal of Hepatology,GASTROENTEROLOGY & HEPATOLOGY - ESCI(N/A),#N/A,N/A,#N/A
International Journal of Innovation,BUSINESS - ESCI(N/A),#N/A,N/A,#N/A
International Journal of Nephrology,UROLOGY & NEPHROLOGY - ESCI(N/A),#N/A,N/A,#N/A
International Journal of Pediatrics,PEDIATRICS - ESCI(N/A),#N/A,N/A,#N/A
International Journal of Technology,"ENGINEERING, MULTIDISCIPLINARY - ESCI(N/A)",#N/A,N/A,#N/A
International Review of Victimology,CRIMINOLOGY & PENOLOGY - ESCI(N/A),#N/A,N/A,#N/A
International Shipbuilding Progress,"ENGINEERING, MARINE - ESCI(N/A)",#N/A,N/A,#N/A
International Wood Products Journal,"MATERIALS SCIENCE, PAPER & WOOD - ESCI(N/A)",#N/A,N/A,#N/A
Iranian Journal of Medical Sciences,"MEDICINE, GENERAL & INTERNAL - ESCI(N/A)",#N/A,N/A,#N/A
Iranian Journal of Nuclear Medicine,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI(N/A)",#N/A,N/A,#N/A
JOURNAL OF INTERCONNECTION NETWORKS,"COMPUTER SCIENCE, THEORY & METHODS - ESCI(N/A)",#N/A,N/A,#N/A
JOURNAL OF PUBLIC AFFAIRS EDUCATION,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),#N/A,N/A,#N/A
Jordan Journal of Civil Engineering,"ENGINEERING, CIVIL - ESCI(N/A)",#N/A,N/A,#N/A
Journal for Multicultural Education,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),#N/A,N/A,#N/A
Journal for New Generation Sciences,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)",#N/A,N/A,#N/A
Journal of African American Studies,ETHNIC STUDIES - ESCI(N/A),#N/A,N/A,#N/A
Journal of Argumentation in Context,COMMUNICATION - ESCI(N/A),#N/A,N/A,#N/A
Journal of Asia-Pacific Pop Culture,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",#N/A,N/A,#N/A
Journal of Chemical Health & Safety,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI(N/A)",#N/A,N/A,#N/A
Journal of Chinese Military History,HISTORY - ESCI(N/A); ASIAN STUDIES - ESCI(N/A),#N/A,N/A,#N/A
Journal of Clinical Imaging Science,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI(N/A)",#N/A,N/A,#N/A
South African Journal of Geomatics,REMOTE SENSING - ESCI(N/A),#N/A,N/A,#N/A
Spine Surgery and Related Research,SURGERY - ESCI(N/A),#N/A,N/A,#N/A
Sport Management Education Journal,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),#N/A,N/A,#N/A
Studia Historica-Historia Medieval,MEDIEVAL & RENAISSANCE STUDIES - ESCI(N/A),#N/A,N/A,#N/A
Studies in Eastern European Cinema,"FILM, RADIO, TELEVISION - ESCI(N/A)",#N/A,N/A,#N/A
Studies in Theatre and Performance,THEATER - AHCI(N/A),#N/A,N/A,#N/A
Substance Abuse and Rehabilitation,SUBSTANCE ABUSE - ESCI(N/A),#N/A,N/A,#N/A
TEHNICKI GLASNIK-TECHNICAL JOURNAL,"ENGINEERING, MULTIDISCIPLINARY - ESCI(N/A)",#N/A,N/A,#N/A
TULSA STUDIES IN WOMENS LITERATURE,LITERATURE - AHCI(N/A),#N/A,N/A,#N/A
Texto Livre-Linguagem e Tecnologia,LANGUAGE & LINGUISTICS - ESCI(N/A),#N/A,N/A,#N/A
Theory and Practice of Legislation,LAW - ESCI(N/A),#N/A,N/A,#N/A
Toxicologie Analytique et Clinique,TOXICOLOGY - ESCI(N/A),#N/A,N/A,#N/A
Traitement Automatique des Langues,LINGUISTICS - ESCI(N/A),#N/A,N/A,#N/A
Travmatologiya i ortopediya Rossii,ORTHOPEDICS - ESCI(N/A),#N/A,N/A,#N/A
Turkish Journal of Business Ethics,BUSINESS - ESCI(N/A),#N/A,N/A,#N/A
Turkish Journal of Plastic Surgery,SURGERY - ESCI(N/A),#N/A,N/A,#N/A
Versus-Quaderni di Studi Semiotici,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",#N/A,N/A,#N/A
World Journal of Clinical Oncology,ONCOLOGY - ESCI(N/A),#N/A,N/A,#N/A
World Journal of Pediatric Surgery,SURGERY - ESCI(N/A); PEDIATRICS - ESCI(N/A),#N/A,N/A,#N/A
ZEITSCHRIFT FUR EVANGELISCHE ETHIK,RELIGION - AHCI(N/A),#N/A,N/A,#N/A
AM Journal of Art and Media Studies,ART - ESCI(N/A),#N/A,N/A,#N/A
ARBOR-CIENCIA PENSAMIENTO Y CULTURA,"HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A)",#N/A,N/A,#N/A
Access to Justice in Eastern Europe,LAW - ESCI(N/A),#N/A,N/A,#N/A
Acciones e Investigaciones Sociales,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)",#N/A,N/A,#N/A
Acta Oto-Laryngologica Case Reports,OTORHINOLARYNGOLOGY - ESCI(N/A),#N/A,N/A,#N/A
Acta Otorrinolaringologica Espanola,OTORHINOLARYNGOLOGY - ESCI(N/A),#N/A,N/A,#N/A
Activitas Nervosa Superior Rediviva,CLINICAL NEUROLOGY - ESCI(N/A),#N/A,N/A,#N/A
Advances in Archaeological Practice,ARCHAEOLOGY - AHCI(N/A),#N/A,N/A,#N/A
Ain Shams Journal of Anesthesiology,ANESTHESIOLOGY - ESCI(N/A),#N/A,N/A,#N/A
American Nineteenth Century History,HISTORY - AHCI(N/A),#N/A,N/A,#N/A
American Review of Canadian Studies,AREA STUDIES - ESCI(N/A),#N/A,N/A,#N/A
Aposta-Revista de Ciencias Sociales,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)",#N/A,N/A,#N/A
Asian Academy of Management Journal,MANAGEMENT - ESCI(N/A),#N/A,N/A,#N/A
Asian Journal of Endoscopic Surgery,ORTHOPEDICS - ESCI(N/A),#N/A,N/A,#N/A
Asian Social Work and Policy Review,SOCIAL WORK - ESCI(N/A),#N/A,N/A,#N/A
BIBLIOTHEQUE DE L ECOLE DES CHARTES,HISTORY - AHCI(N/A),#N/A,N/A,#N/A
Bibliotecas-Anales de Investigacion,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI(N/A),#N/A,N/A,#N/A
Biochemistry Research International,BIOCHEMICAL RESEARCH METHODS - ESCI(N/A),#N/A,N/A,#N/A
Biochemistry and Biophysics Reports,BIOCHEMISTRY & MOLECULAR BIOLOGY - ESCI(N/A),#N/A,N/A,#N/A
Bioinformatics and Biology Insights,BIOCHEMICAL RESEARCH METHODS - ESCI(N/A),#N/A,N/A,#N/A
Biomedical Spectroscopy and Imaging,SPECTROSCOPY - ESCI(N/A),#N/A,N/A,#N/A
Bioscope-South Asian Screen Studies,"ASIAN STUDIES - AHCI(N/A); FILM, RADIO, TELEVISION - AHCI(N/A)",#N/A,N/A,#N/A
Brazilian Journal of Anesthesiology,ANESTHESIOLOGY - SCIE(N/A),1.3,N/A,#VALUE!
British Journal of Canadian Studies,"HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A)",#N/A,N/A,#N/A
Buletin Penelitian Sistem Kesehatan,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI(N/A)",#N/A,N/A,#N/A
CANADIAN JOURNAL OF AFRICAN STUDIES,AREA STUDIES - ESCI(N/A),#N/A,N/A,#N/A
CANADIAN REVIEW OF AMERICAN STUDIES,"HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A)",#N/A,N/A,#N/A
COMMONWEALTH & COMPARATIVE POLITICS,POLITICAL SCIENCE - ESCI(N/A),#N/A,N/A,#N/A
COUNSELOR EDUCATION AND SUPERVISION,"PSYCHOLOGY, APPLIED - ESCI(N/A)",#N/A,N/A,#N/A
Cadernos Gestao Publica e Cidadania,PUBLIC ADMINISTRATION - ESCI(N/A),#N/A,N/A,#N/A
Cambridge International Law Journal,LAW - ESCI(N/A),#N/A,N/A,#N/A
Canadian Journal of Human Sexuality,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI(N/A)",#N/A,N/A,#N/A
Canadian Journal of Law and Society,LAW - ESCI(N/A),#N/A,N/A,#N/A
Case Reports in Infectious Diseases,INFECTIOUS DISEASES - ESCI(N/A),#N/A,N/A,#N/A
Central European Journal of Urology,UROLOGY & NEPHROLOGY - ESCI(N/A),#N/A,N/A,#N/A
Central European Management Journal,MANAGEMENT - ESCI(N/A),#N/A,N/A,#N/A
Cercles-Revista d Historia Cultural,HISTORY - ESCI(N/A),#N/A,N/A,#N/A
Ceska Gynekologie-Czech Gynaecology,OBSTETRICS & GYNECOLOGY - ESCI(N/A),#N/A,N/A,#N/A
Civil and Environmental Engineering,"ENGINEERING, CIVIL - ESCI(N/A)",#N/A,N/A,#N/A
Cognitive Studies-Etudes Cognitives,LANGUAGE & LINGUISTICS - ESCI(N/A),#N/A,N/A,#N/A
Communication Research and Practice,COMMUNICATION - ESCI(N/A),#N/A,N/A,#N/A
Computer Science Journal of Moldova,"COMPUTER SCIENCE, THEORY & METHODS - ESCI(N/A)",#N/A,N/A,#N/A
Construction Economics and Building,MANAGEMENT - ESCI(N/A),#N/A,N/A,#N/A
Crime Prevention & Community Safety,CRIMINOLOGY & PENOLOGY - ESCI(N/A),#N/A,N/A,#N/A
Journal of Mathematics in Industry,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - ESCI(N/A)",#N/A,N/A,#N/A
Journal of Modelling in Management,MANAGEMENT - ESCI(N/A),#N/A,N/A,#N/A
Journal of Music Teacher Education,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),#N/A,N/A,#N/A
Journal of Muslim Minority Affairs,RELIGION - ESCI(N/A),#N/A,N/A,#N/A
Journal of Nusantara Studies-JONUS,AREA STUDIES - ESCI(N/A),#N/A,N/A,#N/A
Journal of Offender Rehabilitation,SOCIAL WORK - ESCI(N/A),#N/A,N/A,#N/A
Journal of Operational Meteorology,METEOROLOGY & ATMOSPHERIC SCIENCES - ESCI(N/A),#N/A,N/A,#N/A
Journal of Paleolithic Archaeology,ANTHROPOLOGY - ESCI(N/A); ARCHAEOLOGY - ESCI(N/A),#N/A,N/A,#N/A
Journal of Pediatric Neurosciences,CLINICAL NEUROLOGY - ESCI(N/A),#N/A,N/A,#N/A
Journal of Philosophical Economics,ECONOMICS - ESCI(N/A),#N/A,N/A,#N/A
Journal of Public Health in Africa,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI(N/A)",#N/A,N/A,#N/A
Journal of Renal Injury Prevention,UROLOGY & NEPHROLOGY - ESCI(N/A),#N/A,N/A,#N/A
Journal of Research Administration,MANAGEMENT - ESCI(N/A),#N/A,N/A,#N/A
Journal of Second Language Studies,LANGUAGE & LINGUISTICS - ESCI(N/A); LINGUISTICS - ESCI(N/A); EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),#N/A,N/A,#N/A
Journal of Social Entrepreneurship,BUSINESS - ESCI(N/A),#N/A,N/A,#N/A
Journal of Strategy and Management,MANAGEMENT - ESCI(N/A),#N/A,N/A,#N/A
Journal of Teaching in Social Work,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),#N/A,N/A,#N/A
Journal of Transportation Security,TRANSPORTATION - ESCI(N/A),#N/A,N/A,#N/A
Journal of the Indian Ocean Region,AREA STUDIES - ESCI(N/A),#N/A,N/A,#N/A
Juridical Tribune-Tribuna Juridica,LAW - ESCI(N/A),#N/A,N/A,#N/A
LAVAL THEOLOGIQUE ET PHILOSOPHIQUE,RELIGION - AHCI(N/A); PHILOSOPHY - AHCI(N/A),#N/A,N/A,#N/A
Literatura-Teoria Historia Critica,LITERARY THEORY & CRITICISM - ESCI(N/A),#N/A,N/A,#N/A
Loggia Arquitectura & Restauracion,ARCHITECTURE - ESCI(N/A),#N/A,N/A,#N/A
London Review of International Law,LAW - ESCI(N/A),#N/A,N/A,#N/A
Luxury-History Culture Consumption,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",#N/A,N/A,#N/A
MEXICAN STUDIES-ESTUDIOS MEXICANOS,HISTORY - AHCI(N/A),#N/A,N/A,#N/A
Mathematical Methods of Statistics,STATISTICS & PROBABILITY - ESCI(N/A),#N/A,N/A,#N/A
Mental Health and Social Inclusion,SOCIAL WORK - ESCI(N/A),#N/A,N/A,#N/A
Metodicki Ogledi-Methodical Review,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),#N/A,N/A,#N/A
Missiology-An International Review,RELIGION - ESCI(N/A),#N/A,N/A,#N/A
Monaldi Archives for Chest Disease,RESPIRATORY SYSTEM - ESCI(N/A),#N/A,N/A,#N/A
Moscow University Geology Bulletin,GEOLOGY - ESCI(N/A),#N/A,N/A,#N/A
National Institute Economic Review,ECONOMICS - ESCI(N/A),#N/A,N/A,#N/A
Nordic Journal of Digital Literacy,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),#N/A,N/A,#N/A
OBETS-Revista de Ciencias Sociales,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)",#N/A,N/A,#N/A
OPTICAL MEMORY AND NEURAL NETWORKS,OPTICS - ESCI(N/A),#N/A,N/A,#N/A
Organisational and Social Dynamics,"PSYCHOLOGY, APPLIED - ESCI(N/A)",#N/A,N/A,#N/A
Oxford Journal of Law and Religion,LAW - ESCI(N/A),#N/A,N/A,#N/A
Philosophy Psychiatry & Psychology,PHILOSOPHY - ESCI(N/A),#N/A,N/A,#N/A
Polis-Politicheskiye Issledovaniya,POLITICAL SCIENCE - ESCI(N/A),#N/A,N/A,#N/A
Prikladnaya Diskretnaya Matematika,"MATHEMATICS, APPLIED - ESCI(N/A)",#N/A,N/A,#N/A
Procesamiento del Lenguaje Natural,LINGUISTICS - ESCI(N/A),#N/A,N/A,#N/A
Psicologia Conocimiento y Sociedad,"PSYCHOLOGY, MULTIDISCIPLINARY - ESCI(N/A)",#N/A,N/A,#N/A
Psychiatry and Behavioral Sciences,PSYCHIATRY - ESCI(N/A),#N/A,N/A,#N/A
QED-A Journal in GLBTQ Worldmaking,SOCIAL ISSUES - ESCI(N/A),#N/A,N/A,#N/A
Quality in Ageing and Older Adults,GERONTOLOGY - ESCI(N/A),#N/A,N/A,#N/A
Quantitative Finance and Economics,"BUSINESS, FINANCE - ESCI(N/A)",#N/A,N/A,#N/A
RED-Revista Electronica de Direito,LAW - ESCI(N/A),#N/A,N/A,#N/A
REVUE DE METAPHYSIQUE ET DE MORALE,PHILOSOPHY - AHCI(N/A),#N/A,N/A,#N/A
Radovi-Zavoda za Hrvatsku Povijest,HISTORY - ESCI(N/A),#N/A,N/A,#N/A
Rehabilitation Process and Outcome,REHABILITATION - ESCI(N/A),#N/A,N/A,#N/A
